open,high,low,close,volume
84.6,86.77,84.46,85.37,12564300
85.74,86.17,85.5,86.15,5293200
87.26,88.22,86.66,87.07,6917000
87.64,87.73,86.85,87.69,6371700
87.43,87.87,87.11,87.79,6055000
87.09,87.09,85.02,85.19,10020300
84.49,84.6,81.32,81.55,13972900
82.46,83.18,81.17,82.89,12888000
80.84,82.38,79.94,81.25,19883400
81.8,82.09,81.05,81.27,10370300
81.11,81.3,79.5,79.64,58514600
80.16,81.5,79.51,81.26,10067800
81.64,82.03,79.02,79.08,15083900
79.07,79.81,77.49,77.74,19004600
77.57,77.97,74.81,76.95,28624800
78.42,79.4,77.21,79.27,12861700
80.12,80.51,79.47,80.28,9943800
80.06,82.16,79.83,81.93,12880700
80.95,80.98,79.56,79.66,10953300
79.43,80.67,77.65,79.97,12060300
80.01,80.8,79.29,80.8,9183600
80.53,81.28,78.8,79.08,10561000
78.93,79.04,76.21,76.44,12836000
76.57,77.63,75.69,76.76,14884300
78.46,79.97,77.9,79.67,21522800
78.93,79.22,77.6,78.46,14937800
78.94,79.63,78.1,79.33,9034300
79.94,81.54,79.75,80.78,17873600
82.25,82.4,80.42,80.83,12722300
80.53,82.36,80.3,82.3,9233200
81.91,82.33,80.96,81.43,7350000
81.23,82.86,81.03,82.58,10924700
83.83,87.25,83.57,85.87,32481600
86.04,87.14,85.57,87.01,13809900
86.49,86.83,85.63,86.21,7626700
85.62,85.79,84.42,84.65,8451800
84.84,85.62,83.86,84.19,10044700
84.08,85.64,83.75,85.29,8249000
85.68,86.71,85.52,85.67,10590400
86.5,87.14,86.0,87.1,7938700
87.56,88.13,86.33,87.71,10766900
86.61,88.05,86.28,87.98,10578000
88.23,88.42,87.25,87.82,9572900
87.34,87.35,86.02,86.7,9926200
85.62,88.19,85.48,88.18,12145300
87.85,88.21,87.41,87.42,7185200
87.85,88.01,86.95,87.38,6952600
86.73,87.63,86.6,87.01,9507400
88.12,88.29,87.09,87.26,6872400
87.25,87.59,86.14,86.66,7734400
86.49,86.86,86.18,86.83,7914000
86.94,87.6,86.45,87.24,9782200
86.45,89.47,86.29,89.29,14909000
89.33,90.08,89.02,89.43,11824600
89.39,89.84,88.7,89.84,6683100
89.91,91.29,89.43,91.16,11531500
91.29,91.47,90.76,91.05,8342700
90.75,90.75,89.5,89.5,12330800
89.65,90.02,89.02,89.76,7902800
89.78,89.81,88.57,88.7,7425000
88.79,88.88,87.87,88.0,9003900
87.66,88.01,86.56,86.77,10041800
86.86,87.78,86.74,87.22,9874200
87.39,88.01,86.64,87.76,8848300
87.8,88.24,87.31,88.18,5623500
88.28,89.49,88.13,89.19,9115400
89.21,89.21,88.19,88.45,12064900
87.98,88.88,87.94,88.77,7355300
88.43,88.55,87.35,87.94,8170600
87.74,87.94,86.84,87.32,7012200
86.46,87.76,85.89,87.17,9364400
87.37,87.65,86.32,86.42,7629400
85.99,86.07,84.31,84.48,12603000
83.96,85.0,83.61,84.62,16821100
84.48,85.03,83.96,84.21,11368300
84.98,85.34,83.95,84.58,7732300
84.16,85.32,84.1,85.02,8787200
84.87,86.33,84.83,85.98,12259100
85.76,85.83,84.83,85.31,12212000
85.61,85.72,84.37,84.53,8406800
83.96,84.99,83.73,84.41,8005800
84.44,84.89,83.96,84.36,10105100
84.72,86.07,84.67,84.83,10269300
85.28,86.12,84.9,85.14,9824200
85.28,86.33,85.15,86.2,8522200
86.1,86.18,85.45,86.18,3303100
85.46,85.87,84.48,84.5,5517900
84.24,84.37,82.67,82.67,11665900
82.98,83.71,82.78,83.12,8339300
83.53,83.78,82.09,82.12,8630700
82.01,82.56,81.31,82.21,15328600
82.98,84.35,82.85,84.16,12002800
83.92,84.94,83.76,84.89,10433800
84.56,84.92,83.53,83.83,6915300
83.47,84.69,83.21,84.61,7469800
83.72,84.47,83.37,84.03,7709300
84.85,85.4,83.86,84.77,10082900
84.13,84.68,83.97,84.26,6705800
84.58,84.64,82.6,82.6,8065200
82.64,82.78,81.08,81.8,12269000
81.89,82.97,81.57,82.71,12088500
82.68,83.92,82.33,83.58,12898200
83.91,84.27,83.27,83.89,8478800
84.16,84.27,83.54,83.92,8547700
84.03,85.19,83.89,84.27,11918100
84.7,85.21,84.41,84.8,11940800
85.58,85.59,84.64,85.14,11070100
84.97,84.97,83.96,84.68,10816300
84.27,84.38,83.4,83.54,8550100
83.52,84.17,83.27,83.87,8865100
83.42,84.14,82.24,82.31,15183800
82.43,82.62,81.85,82.55,14118500
82.5,83.22,81.48,82.84,11173300
83.05,83.23,82.51,82.86,7431600
83.43,83.58,82.5,82.83,13178100
82.8,83.06,82.0,82.11,8520600
81.8,82.46,81.25,82.39,10734700
81.7,81.85,80.56,81.08,11604600
81.11,81.87,80.94,81.83,10417400
81.8,82.32,80.42,80.43,14480800
81.08,81.55,80.4,81.26,11752300
81.22,81.61,80.89,80.97,8744100
81.39,82.73,81.07,82.65,11687700
82.62,82.78,82.12,82.16,7425100
82.14,82.28,80.96,80.96,12046600
81.34,81.37,79.98,80.23,16180000
79.76,80.37,77.8,78.69,17692600
78.75,79.7,78.56,79.27,15985400
79.06,80.67,78.73,78.76,24473400
78.96,79.3,77.74,78.96,21477100
78.23,78.68,76.92,76.92,21653000
76.4,77.26,75.44,75.5,33133900
74.79,76.63,74.79,76.42,23408700
70.14,73.89,69.44,72.43,32388700
72.45,73.12,71.78,72.26,22029200
72.29,72.57,68.44,70.8,42771800
69.72,70.7,68.44,68.55,36210900
65.72,69.0,65.38,67.81,49782100
69.51,70.51,69.05,70.19,25549600
70.23,71.1,69.63,70.92,25466200
71.34,71.38,70.0,70.67,18587500
70.58,71.3,69.7,71.29,20536800
71.78,76.41,71.45,72.8,21687200
72.42,72.72,71.68,72.68,20457400
72.49,73.59,72.25,73.59,19833100
72.91,75.2,72.74,74.83,32045800
75.48,75.96,74.41,74.89,32674100
74.76,75.02,73.55,74.74,29796100
74.07,74.79,73.8,74.26,12970300
74.31,74.41,73.61,73.86,15976300
73.75,75.66,73.55,75.5,19987400
75.94,76.88,75.94,76.67,23006300
76.08,76.6,74.79,76.33,31360500
75.72,76.29,75.32,76.19,16873000
76.53,77.1,75.94,76.67,15877100
77.42,77.48,75.04,75.04,28542300
75.15,75.39,74.41,74.88,16510000
74.58,75.22,73.89,74.83,21912500
74.79,76.37,74.73,76.3,17540600
76.65,76.87,75.55,75.91,22062500
75.96,76.29,75.43,75.71,16065200
74.9,77.09,74.4,77.07,27467900
76.64,77.92,76.44,76.9,18623300
76.79,77.06,74.9,74.9,18727500
74.83,75.07,73.58,74.0,26178600
74.51,75.18,73.75,73.75,28124200
74.3,75.98,73.68,75.64,29806800
75.59,76.24,75.19,76.15,17575900
76.76,77.43,76.64,77.15,15929500
76.92,78.4,76.57,78.35,23245800
77.91,78.85,77.82,78.24,19716000
78.67,79.52,78.0,78.49,22563500
78.24,78.74,77.68,78.57,15895800
77.37,78.52,76.67,78.09,26068800
79.07,79.85,78.89,79.85,15296200
80.28,80.44,79.26,79.92,17571300
79.72,80.28,79.41,80.07,19470200
80.22,80.23,79.04,79.71,18134900
80.1,80.75,79.78,80.7,13625400
80.42,80.72,79.91,80.02,16209700
79.81,79.93,79.12,79.49,11470200
79.49,80.68,79.46,80.63,6717100
80.68,81.09,80.21,80.81,13726000
